date,unit_id,unit_age_years,outdoor_temp_f,return_air_temp_f,supply_air_temp_f,delta_t_f,suction_pressure_psig,head_pressure_psig,compressor_amps,vibration_ips,filter_pressure_drop_inwc,runtime_hours,energy_kwh,failure_next_7_days
2026-01-30,RTU-01,8,85.1,72.3,55.9,16.3,124.2,316.2,22.1,0.248,0.86,8.2,46.1,0
2026-01-31,RTU-01,8,93.4,69.7,55.1,14.6,142.3,402.5,19.8,0.163,0.87,11.1,67.0,1
2026-02-01,RTU-01,8,98.3,75.0,56.7,18.3,108.5,402.8,22.2,0.401,0.41,10.4,66.7,0
2026-02-02,RTU-01,8,87.5,68.4,57.1,11.2,124.8,354.3,19.4,0.307,0.81,12.0,67.5,0
2026-02-03,RTU-01,8,81.2,65.6,45.4,20.2,150.8,350.4,20.0,0.366,0.85,6.7,35.3,0
2026-02-04,RTU-01,8,84.0,74.2,60.4,13.8,120.8,398.9,19.4,0.344,0.39,10.2,55.4,0
2026-02-05,RTU-01,8,60.5,73.5,60.5,13.0,137.8,354.3,23.9,0.458,0.44,9.7,49.5,1
2026-02-06,RTU-01,8,63.9,72.9,52.0,21.0,102.0,389.8,21.0,0.384,0.66,5.4,26.6,0
2026-02-07,RTU-01,8,87.1,67.9,50.3,17.5,115.6,421.8,19.1,0.344,0.66,9.2,51.5,0
2026-02-08,RTU-01,8,76.8,71.3,55.7,15.6,113.4,410.3,18.4,0.329,0.51,11.2,55.2,0
2026-02-09,RTU-01,8,69.2,71.4,57.4,14.0,118.3,332.1,16.9,0.314,0.3,10.1,48.0,0
2026-02-10,RTU-01,8,60.1,73.0,51.4,21.6,104.2,,21.8,0.315,0.35,7.5,37.7,0
2026-02-11,RTU-01,8,96.3,77.6,59.8,17.8,141.4,400.3,18.8,0.471,0.64,10.1,62.3,0
2026-02-12,RTU-01,8,87.7,76.0,62.0,14.0,118.1,352.4,18.4,0.27,0.52,12.6,70.9,0
2026-02-13,RTU-01,8,83.9,72.9,52.4,20.5,124.3,400.7,18.6,0.373,0.84,10.1,54.3,0
2026-02-14,RTU-01,8,70.1,77.0,59.2,17.9,125.6,416.4,22.7,0.271,0.63,10.4,52.4,0
2026-02-15,RTU-01,8,98.6,73.7,56.2,17.6,104.3,431.1,21.7,0.437,0.63,13.8,88.9,0
2026-02-16,RTU-01,8,72.2,72.5,59.7,12.8,136.0,283.9,23.9,0.199,0.82,6.4,32.5,0
2026-02-17,RTU-01,8,84.7,78.2,60.7,17.5,138.4,372.1,20.4,0.389,0.48,8.4,46.6,0
2026-02-18,RTU-01,8,62.4,72.8,60.8,12.0,131.2,317.4,17.2,0.337,0.42,9.1,43.6,0
2026-02-19,RTU-01,8,101.7,71.4,54.0,17.3,117.9,404.2,20.7,0.337,0.63,11.3,74.3,0
2026-02-20,RTU-01,8,97.2,74.3,55.1,19.2,132.4,381.8,22.0,0.27,0.58,11.1,70.3,0
2026-02-21,RTU-01,8,84.9,74.6,57.0,17.5,115.0,345.2,17.6,0.166,0.57,12.9,69.7,0
2026-02-22,RTU-01,8,104.1,75.4,53.4,22.0,144.1,337.9,22.9,0.397,0.64,16.1,109.6,0
2026-02-23,RTU-01,8,85.1,73.9,58.1,15.8,110.4,411.9,19.2,0.354,0.69,5.4,29.8,0
2026-02-24,RTU-01,8,83.4,75.4,57.3,18.1,146.7,410.3,19.9,0.267,0.74,11.9,64.4,0
2026-02-25,RTU-01,8,98.5,75.9,58.9,17.1,116.3,390.1,21.4,0.202,0.88,14.1,90.2,1
2026-02-26,RTU-01,8,54.7,74.6,58.7,15.9,128.1,357.5,17.1,0.443,0.62,5.8,27.6,0
2026-02-27,RTU-01,8,96.1,70.9,53.3,17.6,130.8,410.7,21.4,0.381,0.69,10.4,64.8,0
2026-02-28,RTU-01,8,69.8,74.6,55.2,19.4,104.5,342.5,24.1,0.384,0.66,10.7,54.9,0
2026-03-01,RTU-01,8,104.5,70.1,56.3,13.8,108.1,382.9,20.8,0.359,0.43,17.1,115.4,0
2026-03-02,RTU-01,8,68.8,76.7,55.1,21.6,124.6,389.0,22.2,0.3,0.69,11.1,55.9,0
2026-03-03,RTU-01,8,67.1,73.9,56.3,17.6,,332.7,15.3,0.344,1.09,12.8,59.9,0
2026-03-04,RTU-01,8,113.7,72.8,56.3,16.5,126.8,487.1,21.8,0.435,0.77,16.9,124.0,0
2026-03-05,RTU-01,8,81.9,70.4,51.0,19.4,107.2,354.4,18.7,0.391,,8.9,46.9,0
2026-03-06,RTU-01,8,86.1,73.5,57.0,16.5,120.0,358.1,18.8,0.302,0.75,8.9,49.1,0
2026-03-07,RTU-01,8,69.2,77.5,62.2,15.4,132.9,376.6,22.2,0.323,0.36,5.4,27.0,0
2026-03-08,RTU-01,8,44.6,75.9,57.4,18.5,106.6,396.4,18.2,0.267,0.46,9.4,45.3,0
2026-03-09,RTU-01,8,60.2,75.1,54.9,20.1,127.1,313.1,20.0,0.255,0.38,8.9,43.9,0
2026-03-10,RTU-01,8,55.1,76.8,53.8,23.0,118.1,398.0,18.7,0.208,0.69,7.7,37.4,0
2026-03-11,RTU-01,8,99.8,81.0,60.0,20.9,126.8,389.2,18.1,0.349,0.54,8.4,53.4,0
2026-03-12,RTU-01,8,74.5,74.3,57.6,16.7,137.3,303.2,20.9,0.342,0.38,12.3,60.9,0
2026-03-13,RTU-01,8,90.1,74.4,52.8,21.6,131.3,424.0,21.1,0.318,0.46,13.0,76.7,0
2026-03-14,RTU-01,8,74.9,75.9,57.7,18.2,135.4,378.5,20.7,0.22,0.84,12.1,60.1,0
2026-03-15,RTU-01,8,91.1,72.3,52.6,19.7,121.8,369.7,20.8,0.363,0.66,13.7,80.9,0
2026-03-16,RTU-01,8,76.5,67.0,47.5,19.5,137.7,312.5,19.3,0.26,1.0,14.4,71.9,0
2026-03-17,RTU-01,8,91.8,77.3,60.0,17.3,142.5,378.4,18.5,0.485,0.62,11.3,66.2,0
2026-03-18,RTU-01,8,67.1,76.1,59.0,17.1,152.6,401.5,20.0,0.452,0.46,6.9,34.1,0
2026-03-19,RTU-01,8,66.1,73.4,54.0,19.4,123.5,386.2,23.1,0.33,0.69,9.3,47.4,0
2026-03-20,RTU-01,8,76.5,74.4,56.4,17.9,127.8,343.2,24.5,0.239,0.31,6.3,33.2,0
2026-03-21,RTU-01,8,69.5,79.8,59.9,19.8,117.9,367.6,23.7,0.395,0.78,6.8,34.9,0
2026-03-22,RTU-01,8,89.2,74.0,56.0,18.0,134.7,368.4,20.2,0.315,0.63,10.8,62.4,0
2026-03-23,RTU-01,8,109.3,73.1,58.6,14.5,135.3,411.7,17.9,0.393,0.76,11.4,78.5,0
2026-03-24,RTU-01,8,70.0,74.9,60.7,14.2,142.0,330.0,26.4,0.346,0.84,14.0,73.6,0
2026-03-25,RTU-01,8,62.6,74.8,52.3,22.5,130.8,365.1,23.9,0.421,0.6,12.1,61.7,0
2026-03-26,RTU-01,8,49.5,71.0,47.2,23.9,117.2,336.3,16.3,0.319,0.45,8.0,37.9,0
2026-03-27,RTU-01,8,80.0,73.7,54.3,19.3,119.6,383.4,23.3,0.377,0.55,9.6,51.7,0
2026-03-28,RTU-01,8,74.7,70.2,50.7,19.4,127.5,354.8,18.4,0.302,0.71,10.3,49.9,0
2026-03-29,RTU-01,8,72.0,75.3,61.0,14.2,131.9,447.6,20.9,0.204,0.63,10.1,50.1,0
2026-03-30,RTU-01,8,116.0,72.3,61.6,10.7,118.1,425.7,17.1,0.334,0.7,19.1,137.9,0
2026-03-31,RTU-01,8,80.8,71.9,54.4,17.5,117.5,393.3,19.6,0.489,0.71,7.5,39.2,0
2026-04-01,RTU-01,8,79.6,78.3,61.9,16.4,131.6,350.7,19.2,0.246,0.47,9.9,51.2,0
2026-04-02,RTU-01,8,85.1,73.8,55.8,17.9,123.7,341.9,22.0,0.392,0.3,12.6,71.0,0
2026-04-03,RTU-01,8,67.4,72.3,55.1,17.2,121.0,347.7,22.0,0.385,0.44,8.1,40.7,0
2026-04-04,RTU-01,8,83.9,72.5,55.7,16.8,147.6,347.3,24.2,0.428,0.93,11.2,63.4,0
2026-04-05,RTU-01,8,76.0,76.8,60.9,15.9,133.8,383.7,19.5,0.444,0.59,8.1,40.1,0
2026-04-06,RTU-01,8,72.1,75.8,57.4,18.4,127.9,348.0,22.9,0.251,0.35,7.3,37.2,0
2026-04-07,RTU-01,8,88.3,73.3,54.7,18.6,146.5,464.7,16.4,0.306,0.53,11.4,63.2,0
2026-04-08,RTU-01,8,48.2,73.4,51.9,21.5,,372.8,16.4,0.294,0.52,10.2,48.3,0
2026-04-09,RTU-01,8,91.9,78.9,56.7,22.2,121.6,395.2,19.4,0.412,,7.7,45.3,0
2026-04-10,RTU-01,8,83.6,75.1,57.3,17.8,114.4,366.8,18.8,0.291,0.37,8.6,46.3,0
2026-04-11,RTU-01,8,68.6,76.7,57.7,18.9,113.3,372.3,19.9,0.476,0.82,7.9,38.9,0
2026-04-12,RTU-01,8,88.3,75.4,58.9,16.5,154.8,399.5,24.6,0.448,0.74,13.5,80.4,0
2026-04-13,RTU-01,8,77.7,71.0,52.0,19.0,143.8,349.6,24.5,0.215,0.77,8.8,46.8,0
2026-04-14,RTU-01,8,75.6,76.6,58.0,18.6,101.0,330.5,19.6,0.23,0.49,8.6,42.7,0
2026-04-15,RTU-01,8,73.6,74.9,57.7,17.1,131.0,373.4,21.9,0.41,0.71,8.2,41.3,1
2026-04-16,RTU-01,8,82.2,75.0,57.9,17.2,120.7,417.2,24.1,0.388,0.89,15.8,88.0,0
2026-04-17,RTU-01,8,59.4,73.7,54.4,19.2,116.4,418.0,16.7,0.229,,11.9,56.4,0
2026-04-18,RTU-01,8,82.5,72.2,55.3,16.9,115.1,419.1,23.8,0.285,0.64,9.7,53.7,0
2026-04-19,RTU-01,8,90.9,73.3,55.9,17.4,125.0,325.1,23.6,0.279,0.51,13.3,80.6,0
2026-04-20,RTU-01,8,89.9,69.1,54.0,15.1,131.1,456.5,17.0,0.236,0.32,9.4,53.5,0
2026-04-21,RTU-01,8,92.5,74.4,58.4,16.1,147.7,391.0,22.8,0.299,0.68,14.5,88.8,0
2026-04-22,RTU-01,8,85.6,71.8,56.6,15.2,144.9,440.1,19.5,0.345,0.68,10.7,59.2,0
2026-04-23,RTU-01,8,57.9,68.8,53.3,15.5,131.1,381.0,18.1,0.303,0.49,10.0,48.2,0
2026-04-24,RTU-01,8,77.7,72.7,54.4,18.3,131.1,,19.4,0.354,0.75,10.9,54.9,0
2026-04-25,RTU-01,8,99.8,72.9,60.0,12.9,138.2,387.9,20.3,0.292,0.54,9.7,62.3,0
2026-04-26,RTU-01,8,86.3,75.9,56.6,19.3,120.9,321.2,17.9,0.233,0.81,10.1,55.5,0
2026-04-27,RTU-01,8,97.0,76.7,54.1,22.6,140.0,318.8,23.4,0.343,0.51,7.0,44.9,0
2026-04-28,RTU-01,8,65.4,78.1,59.1,18.9,125.7,,17.1,0.328,0.29,9.0,43.0,0
2026-04-29,RTU-01,8,51.8,76.4,55.8,20.7,126.0,392.1,19.6,0.245,0.89,11.0,53.8,0
2026-04-30,RTU-01,8,61.1,72.9,54.4,18.5,153.2,378.3,20.0,0.536,0.75,7.9,39.0,0
2026-01-01,RTU-02,3,70.8,73.7,56.3,17.4,113.4,379.3,22.9,0.283,0.56,5.4,27.3,0
2026-01-02,RTU-02,3,94.8,72.6,54.8,17.7,132.1,394.4,22.2,0.296,0.57,11.2,70.1,0
2026-01-03,RTU-02,3,84.0,76.9,59.9,17.0,122.1,394.3,20.7,0.209,0.7,7.1,39.3,0
2026-01-04,RTU-02,3,99.8,74.6,59.2,15.4,153.7,356.3,20.6,0.206,0.54,10.1,65.3,0
2026-01-05,RTU-02,3,92.7,70.2,51.8,18.3,143.8,326.4,20.7,0.265,0.75,14.9,90.0,0
2026-01-06,RTU-02,3,60.8,76.4,55.9,20.5,128.6,341.3,15.2,0.31,0.32,4.6,21.7,0
2026-01-07,RTU-02,3,71.0,72.1,54.3,17.8,117.5,384.5,21.5,0.274,0.66,8.5,43.0,0
2026-01-08,RTU-02,3,63.9,75.7,53.1,22.6,121.9,420.4,19.2,0.211,0.36,6.2,30.3,0
2026-01-09,RTU-02,3,67.0,78.0,61.0,17.0,140.8,317.5,18.2,0.152,0.6,9.2,44.7,0
2026-01-10,RTU-02,3,78.9,72.1,53.8,18.3,118.7,372.7,20.8,0.312,0.44,12.3,64.3,0
2026-01-11,RTU-02,3,69.5,74.2,54.7,19.5,114.8,304.0,24.0,0.174,0.73,8.5,43.6,0
2026-01-12,RTU-02,3,81.0,73.0,54.1,18.9,119.8,402.9,20.7,0.313,0.5,9.7,52.0,0
2026-01-13,RTU-02,3,63.7,71.4,50.4,21.0,125.6,366.0,18.7,0.281,1.02,8.2,40.1,0
2026-01-14,RTU-02,3,70.2,67.7,49.8,17.9,120.5,325.3,20.6,0.269,0.28,10.2,51.0,0
2026-01-15,RTU-02,3,43.3,74.7,58.9,15.8,131.5,315.1,17.3,0.298,0.47,9.7,46.7,0
2026-01-16,RTU-02,3,71.2,73.1,57.1,16.0,128.6,338.0,19.2,0.207,0.29,8.1,39.6,0
2026-01-17,RTU-02,3,84.0,71.4,54.2,17.2,123.9,402.6,19.0,0.171,0.9,15.3,83.6,0
2026-01-18,RTU-02,3,88.5,73.9,56.6,17.3,121.2,376.6,21.6,0.201,0.66,12.4,72.4,0
2026-01-19,RTU-02,3,66.1,69.1,46.2,22.9,110.7,358.6,21.9,0.196,0.17,8.9,45.1,0
2026-01-20,RTU-02,3,67.5,74.7,56.4,18.3,138.7,320.8,15.2,0.232,,3.8,17.8,0
2026-01-21,RTU-02,3,94.9,74.7,55.1,19.6,118.8,395.7,17.3,0.27,0.68,14.2,85.4,0
2026-01-22,RTU-02,3,75.3,74.6,58.0,16.6,115.4,405.5,17.2,0.159,0.71,9.2,44.6,0
2026-01-23,RTU-02,3,72.6,74.7,58.7,16.0,115.6,390.8,20.5,0.37,0.34,8.0,39.9,0
2026-01-24,RTU-02,3,81.4,75.6,54.8,20.8,118.1,364.1,22.4,0.409,0.7,7.6,41.7,0
2026-01-25,RTU-02,3,67.8,75.4,58.2,17.2,117.9,315.2,15.6,0.109,0.7,9.8,46.6,0
2026-01-26,RTU-02,3,72.2,74.5,57.2,17.3,108.9,392.0,19.9,0.286,0.72,8.2,40.8,0
2026-01-27,RTU-02,3,92.6,76.2,56.7,19.5,113.8,402.7,20.3,0.267,0.59,10.8,65.0,0
2026-01-28,RTU-02,3,87.8,74.1,60.0,14.0,131.7,400.8,24.7,0.351,0.29,11.9,70.7,0
2026-01-29,RTU-02,3,99.7,74.8,55.2,19.6,119.5,,19.3,0.263,0.8,13.4,85.9,0
2026-01-30,RTU-02,3,93.5,74.7,60.5,14.1,135.0,437.5,18.3,0.176,0.65,10.2,61.3,1
2026-01-31,RTU-02,3,60.6,72.9,57.2,15.7,115.2,286.7,20.3,0.292,0.24,6.5,32.1,0
2026-02-01,RTU-02,3,98.2,76.9,60.9,16.0,129.0,367.1,24.3,0.241,0.62,10.1,66.0,0
2026-02-02,RTU-02,3,100.3,78.1,58.3,19.7,119.5,429.6,20.2,0.37,0.9,16.4,106.3,0
2026-02-03,RTU-02,3,89.4,67.1,47.3,19.8,120.8,347.7,17.9,0.254,0.72,12.3,70.2,0
2026-02-04,RTU-02,3,80.3,78.7,63.6,15.1,120.8,369.7,22.1,0.241,0.83,11.0,59.0,0
2026-02-05,RTU-02,3,63.0,70.5,55.6,14.8,118.7,387.0,15.2,0.279,0.78,9.8,46.3,0
2026-02-06,RTU-02,3,73.6,73.5,52.3,21.2,111.7,,19.9,0.235,0.08,9.9,49.1,0
2026-02-07,RTU-02,3,88.8,74.9,59.9,15.0,130.6,357.5,20.5,0.275,0.46,12.4,72.3,0
2026-02-08,RTU-02,3,82.3,71.9,56.4,15.5,121.6,419.4,18.2,0.264,0.61,9.4,49.7,0
2026-02-09,RTU-02,3,56.8,74.6,56.6,18.0,133.4,363.4,18.8,0.217,0.71,6.6,32.5,0
2026-02-10,RTU-02,3,64.7,70.7,46.9,23.8,,372.2,17.7,0.24,0.53,10.3,49.9,0
2026-02-11,RTU-02,3,85.6,76.5,52.1,24.4,122.0,376.5,20.2,0.41,0.57,9.2,51.8,0
2026-02-12,RTU-02,3,62.8,72.9,50.1,22.8,146.2,323.8,17.7,0.271,0.83,8.9,43.0,0
2026-02-13,RTU-02,3,70.2,72.4,53.2,19.3,116.5,342.1,21.9,0.204,0.32,8.9,44.8,0
2026-02-14,RTU-02,3,73.7,74.8,57.1,17.7,124.3,334.2,19.6,0.336,0.43,10.2,50.3,0
2026-02-15,RTU-02,3,90.5,77.3,61.0,16.3,104.1,387.9,20.5,0.374,0.84,12.0,71.0,0
2026-02-16,RTU-02,3,87.2,71.0,52.9,18.1,137.5,397.3,21.3,0.231,0.55,10.0,57.7,0
2026-02-17,RTU-02,3,71.4,74.7,55.1,19.7,122.6,319.3,17.6,0.281,0.6,7.8,37.8,0
2026-02-18,RTU-02,3,84.3,74.7,57.0,17.6,139.2,418.6,16.8,0.245,0.61,10.1,54.2,0
2026-02-19,RTU-02,3,99.5,72.0,53.1,18.9,130.2,409.7,23.7,0.293,0.58,12.5,82.4,0
2026-02-20,RTU-02,3,76.0,73.8,61.6,12.2,119.0,394.7,20.9,0.198,0.53,12.1,61.4,0
2026-02-21,RTU-02,3,70.0,75.9,55.0,20.9,106.8,403.5,18.5,0.363,0.52,4.3,21.2,0
2026-02-22,RTU-02,3,82.5,77.0,62.0,15.0,120.4,383.3,18.1,0.327,0.82,8.1,42.9,0
2026-02-23,RTU-02,3,54.8,76.6,62.1,14.5,133.7,383.4,16.7,0.332,,9.3,44.5,0
2026-02-24,RTU-02,3,66.4,69.7,57.7,12.1,126.7,398.5,19.9,0.26,0.56,9.3,46.3,0
2026-02-25,RTU-02,3,75.3,72.9,53.3,19.6,127.4,371.1,21.4,0.223,0.72,10.0,50.5,0
2026-02-26,RTU-02,3,82.1,71.7,53.7,18.0,102.6,353.8,15.7,0.327,0.76,8.4,43.2,0
2026-02-27,RTU-02,3,83.1,76.3,58.0,18.3,134.1,343.6,19.9,0.228,0.5,12.0,65.5,0
2026-02-28,RTU-02,3,82.2,74.7,55.3,19.4,133.1,458.4,15.8,0.21,0.9,12.5,64.9,0
2026-03-01,RTU-02,3,88.6,79.3,64.3,15.0,140.5,438.5,17.3,0.328,0.44,11.2,63.0,0
2026-03-02,RTU-02,3,74.9,75.1,56.9,18.1,142.7,381.4,23.7,0.274,0.48,3.5,17.9,0
2026-03-03,RTU-02,3,72.7,73.4,60.9,12.6,130.4,316.6,16.7,0.211,0.47,3.9,18.8,0
2026-03-04,RTU-02,3,91.0,75.2,50.7,24.5,130.6,375.7,17.7,0.249,0.43,9.6,55.7,0
2026-03-05,RTU-02,3,79.2,74.0,53.5,20.5,120.2,337.1,15.8,0.116,0.67,4.5,22.7,0
2026-03-06,RTU-02,3,87.3,76.3,59.9,16.4,127.5,353.0,18.4,0.292,0.51,14.0,78.5,0
2026-03-07,RTU-02,3,67.3,77.8,61.3,16.5,131.1,354.1,21.9,0.358,0.79,8.3,41.9,0
2026-03-08,RTU-02,3,80.5,75.0,55.6,19.4,125.7,334.9,15.9,0.213,1.1,11.4,57.9,0
2026-03-09,RTU-02,3,54.5,76.1,55.2,21.0,130.7,389.6,23.6,0.205,0.44,10.7,54.9,0
2026-03-10,RTU-02,3,74.8,75.3,56.3,19.0,103.2,335.7,15.7,0.359,0.92,12.3,58.3,0
2026-03-11,RTU-02,3,66.2,73.4,58.6,14.7,113.4,344.9,19.8,0.252,0.38,12.4,61.4,0
2026-03-12,RTU-02,3,76.2,76.8,62.0,14.8,105.5,404.5,23.3,0.228,0.55,7.5,39.0,0
2026-03-13,RTU-02,3,78.1,73.7,55.0,18.8,111.8,347.3,15.3,0.237,0.56,8.3,40.6,0
2026-03-14,RTU-02,3,80.9,70.2,56.1,14.0,131.4,290.4,20.1,0.171,0.91,11.8,62.6,0
2026-03-15,RTU-02,3,75.4,71.3,55.8,15.6,,329.7,19.8,0.305,0.8,11.9,59.0,0
2026-03-16,RTU-02,3,75.9,73.5,49.9,23.6,128.5,391.5,23.3,0.355,0.47,6.6,34.0,0
2026-03-17,RTU-02,3,77.6,70.2,51.8,18.4,128.2,421.9,18.4,0.287,0.45,8.0,40.4,0
2026-03-18,RTU-02,3,76.5,74.0,55.2,18.7,128.1,396.6,15.8,0.198,0.66,6.5,31.4,0
2026-03-19,RTU-02,3,80.9,80.8,63.7,17.1,139.4,350.0,19.6,0.384,0.72,4.1,21.9,0
2026-03-20,RTU-02,3,76.4,79.8,61.6,18.2,148.5,351.6,21.7,0.353,0.55,11.5,58.8,0
2026-03-21,RTU-02,3,91.7,71.8,55.8,16.0,119.7,413.5,20.5,0.322,0.67,9.8,58.6,0
2026-03-22,RTU-02,3,86.4,75.5,56.6,18.9,116.4,380.1,18.0,0.263,0.35,13.1,72.5,0
2026-03-23,RTU-02,3,75.7,74.3,56.8,17.4,125.4,381.3,18.2,0.247,0.83,7.8,38.4,0
2026-03-24,RTU-02,3,75.8,73.6,57.6,16.0,113.0,333.3,21.3,0.215,0.56,9.3,47.1,0
2026-03-25,RTU-02,3,74.7,70.1,52.7,17.4,125.9,360.8,15.9,0.361,0.45,10.5,49.7,0
2026-03-26,RTU-02,3,78.1,79.5,64.9,14.5,117.2,366.6,17.2,0.328,0.78,11.7,58.5,0
2026-03-27,RTU-02,3,80.8,71.1,53.2,17.9,116.2,392.8,15.7,0.263,0.7,12.9,65.5,0
2026-03-28,RTU-02,3,70.5,76.4,61.2,15.2,114.7,399.4,18.7,0.203,0.72,9.0,44.2,0
2026-03-29,RTU-02,3,90.3,73.6,53.5,20.1,123.3,407.1,19.2,0.424,0.87,9.3,54.4,0
2026-03-30,RTU-02,3,84.3,74.5,56.5,17.9,112.8,405.6,19.7,0.242,0.49,8.2,45.3,0
2026-03-31,RTU-02,3,82.9,66.9,49.1,17.8,108.0,358.5,16.3,0.152,0.82,9.7,50.7,0
2026-04-01,RTU-02,3,73.2,73.1,50.1,23.0,121.7,372.8,21.6,0.393,,10.1,50.9,0
2026-04-02,RTU-02,3,93.3,76.7,62.5,14.2,144.9,359.9,20.2,0.253,0.49,13.1,79.2,0
2026-04-03,RTU-02,3,57.1,70.2,55.3,14.9,122.4,267.6,21.1,0.072,0.58,9.3,46.5,0
2026-04-04,RTU-02,3,84.5,79.0,60.7,18.3,138.1,343.6,19.7,0.389,0.56,10.0,55.3,0
2026-04-05,RTU-02,3,89.8,68.6,50.2,18.4,137.8,332.2,20.8,0.319,0.18,9.1,53.3,0
2026-04-06,RTU-02,3,73.3,72.1,56.4,15.8,145.1,356.2,17.7,0.262,0.68,8.6,41.6,0
2026-04-07,RTU-02,3,75.5,72.3,56.1,16.3,129.1,325.2,20.0,0.378,0.62,7.6,37.8,0
2026-04-08,RTU-02,3,62.4,71.1,51.2,19.9,132.7,351.7,19.2,0.118,0.7,12.6,62.1,0
2026-04-09,RTU-02,3,64.9,74.1,54.9,19.2,125.0,303.1,18.1,0.283,0.73,8.6,42.0,0
2026-04-10,RTU-02,3,104.3,72.6,55.6,17.0,125.0,365.4,20.2,0.295,0.58,8.2,54.8,0
2026-04-11,RTU-02,3,72.9,72.2,54.1,18.2,127.0,361.4,20.1,0.219,0.53,5.3,26.2,0
2026-04-12,RTU-02,3,77.0,71.6,51.8,19.8,141.7,401.1,19.5,0.169,0.54,6.4,32.2,0
2026-04-13,RTU-02,3,85.4,75.6,61.0,14.6,117.2,332.9,20.4,0.322,0.57,9.8,54.8,0
2026-04-14,RTU-02,3,77.8,72.0,53.4,18.6,115.9,305.2,16.3,0.137,0.62,8.2,40.5,0
2026-04-15,RTU-02,3,79.2,77.0,60.7,16.3,129.9,304.7,22.6,0.165,0.49,10.9,58.0,0
2026-04-16,RTU-02,3,59.7,74.5,57.2,17.3,106.5,429.4,20.5,0.476,0.44,9.1,45.2,0
